,demanda_horaria
demanda_horaria_lag_1,0.8919235402928511
demanda_horaria_lag_168,0.8802817250409508
demanda_horaria_lag_24,0.8355032742421485
borough_BROOKLYN_lag_1,0.8175579018481801
borough_BROOKLYN_lag_168,0.8106498296106818
borough_MANHATTAN_lag_1,0.8031862589898303
demanda_horaria_ma_3,0.8011718343356362
borough_MANHATTAN_lag_168,0.7964470119037195
borough_QUEENS_lag_1,0.7960099138808436
borough_BRONX_lag_1,0.7949495368516196
borough_BRONX_lag_168,0.7936446981446216
demanda_horaria_lag_2,0.7764348756220638
borough_BROOKLYN_lag_24,0.7750961538741143
borough_QUEENS_lag_168,0.7745962231832308
demanda_horaria_lag_48,0.7713764665409727
call_OTHER_lag_1,0.771090990846672
sev_2_lag_1,0.7693586236389757
demanda_horaria_lag_72,0.7632227145973904
sev_3_lag_1,0.7616574000771155
borough_BRONX_lag_24,0.7539206905447351
borough_MANHATTAN_lag_24,0.7456911493997765
sev_2_lag_168,0.7435026234567971
call_OTHER_lag_168,0.7427521662788309
sev_3_lag_168,0.7379530765578308
borough_QUEENS_lag_24,0.737119274768688
sev_7_lag_168,0.7336726441523912
call_SICK_lag_1,0.7331983971045356
call_EDP_lag_168,0.7330362606313515
sev_4_lag_168,0.7295292532484688
sev_6_lag_1,0.7275951063558854
call_OTHER_lag_24,0.7191321226289495
sev_7_lag_1,0.7189972562898406
sev_2_lag_24,0.717231897285471
call_EDP_lag_1,0.7155863841888987
sev_4_lag_1,0.7131484983448937
sev_7_lag_24,0.698792134058709
call_EDP_lag_24,0.6962790730495169
sev_3_lag_24,0.6957787635802897
call_SICK_lag_168,0.6955065126201491
sev_6_lag_168,0.6908616834364525
sev_4_lag_24,0.6830800826614554
call_SICK_lag_24,0.6683229894140592
sev_6_lag_24,0.667607721018341
sev_5_lag_168,0.6662366472790199
sev_5_lag_1,0.6621949836640292
hora_sin,0.6236852737578557
sev_5_lag_24,0.6180062207717559
demanda_horaria_lag_3,0.6147093739944829
call_INJURY_lag_168,0.6057608414863019
call_INJURY_lag_1,0.6056275118894094
call_UNC_lag_1,0.590010078415832
borough_RICHMOND_STATEN_ISLAND_lag_1,0.5893285060900451
demanda_horaria_ma_6,0.5773177138195937
hora_dia,0.5712996125513922
call_UNC_lag_168,0.5708173184606806
avg_travel_time_lag_1,0.5611050867833534
call_INJURY_lag_24,0.5576479980583015
borough_RICHMOND_STATEN_ISLAND_lag_168,0.5517572190680768
call_CARD_lag_1,0.5509850404369449
call_UNC_lag_24,0.5413908368666497
call_UNKNOW_lag_1,0.5374840541618601
call_UNKNOW_lag_168,0.5367910163494721
borough_RICHMOND_STATEN_ISLAND_lag_24,0.533416500620705
call_CARD_lag_168,0.5331973338948163
call_UNKNOW_lag_24,0.5209000522676446
call_MVAINJ_lag_1,0.5077323667919263
call_CARD_lag_24,0.5043266656694143
avg_travel_time_lag_168,0.4933575969638152
held_flag_lag_1,0.4832404261055894
demanda_horaria_lag_12,0.4762785754890466
hora_cos,0.455562088629738
call_MVAINJ_lag_168,0.4555583702953986
call_DIFFBR_lag_1,0.4536568499006245
held_flag_lag_168,0.4417565184727089
call_DIFFBR_lag_168,0.4412670633032059
avg_travel_time_lag_24,0.44076270428754083
call_DIFFBR_lag_24,0.4213804772919244
avg_incident_resp_lag_1,0.4085350510065594
held_flag_lag_24,0.40445578781196023
call_MVAINJ_lag_24,0.4040205875683694
call_DRUG_lag_168,0.3810013058756166
sev_1_lag_1,0.37630903969255536
call_ABDPN_lag_1,0.37592116320864194
avg_incident_resp_lag_168,0.361304899071184
call_ABDPN_lag_168,0.357217364948243
call_ABDPN_lag_24,0.3428432379141697
call_DRUG_lag_24,0.33836756772005155
sev_1_lag_168,0.33200638029548124
sev_1_lag_24,0.3309829604363458
avg_incident_resp_lag_24,0.3297865861601815
demanda_horaria_ma_72,0.31775698106799627
demanda_horaria_ma_168,0.31733404671784
demanda_horaria_ma_48,0.31448219134776295
demanda_horaria_ma_24,0.3109735704505232
anio,0.27756098510169536
demanda_horaria_std_168,0.27688938962355014
call_DRUG_lag_1,0.27340510428825476
demanda_horaria_std_72,0.25248592205247317
demanda_horaria_std_12,0.25221518128394316
demanda_horaria_std_48,0.24686696245928078
demanda_horaria_std_24,0.2426047888786227
avg_dispatch_resp_lag_1,0.20667413018756642
avg_dispatch_resp_lag_168,0.1822095322481893
avg_dispatch_resp_lag_24,0.17383605686881898
demanda_horaria_std_3,0.14248714910857946
reopen_flag_lag_24,0.14102979405290217
reopen_flag_lag_168,0.13382724620569547
reopen_flag_lag_1,0.12680136518186172
demanda_horaria_ma_12,0.11706565995292928
demanda_horaria_std_6,0.09839830081447977
es_fin_semana,0.0590477942648045
special_event_flag_lag_1,0.0553600305639828
demanda_horaria_lag_6,0.051852319316573386
dia_semana,0.04965003023987881
weekhour_cos,0.04125835572660025
special_event_flag_lag_168,0.0379197923794384
special_event_flag_lag_24,0.0363786075316418
standby_flag_lag_1,0.0249367635362938
dia_mes,0.02442091582872599
es_festivo,0.02428939493024188
standby_flag_lag_24,0.023938470316707393
sev_8_lag_24,0.02392764248314717
sev_8_lag_1,0.02306083082823089
sev_8_lag_168,0.021971674727505223
standby_flag_lag_168,0.020868054635470604
sev_9_lag_1,0.0171993873233288
sev_9_lag_168,0.014202511193251577
sev_9_lag_24,0.013494959116370999
weekhour_sin,0.005953801243097877
borough_UNKNOWN_lag_24,0.004868683630887399
transfer_flag_lag_168,0.003841408957382752
mes,0.003766911625228972
transfer_flag_lag_1,0.0031033862152313914
transfer_flag_lag_24,0.0018340740450395413
sev_0_lag_24,0.0013725207629509397
borough_UNKNOWN_lag_1,0.001023376946289344
sev_0_lag_1,0.0006358918739532204
sev_0_lag_168,0.00047402037275697813
borough_UNKNOWN_lag_168,0.00012207547554791764
