,0
demanda_horaria_lag_168,0.6031056
demanda_horaria_lag_1,0.17339705
demanda_horaria_lag_24,0.021112349
hora_dia,0.017959328
demanda_horaria_ma_3,0.016978787
hora_cos,0.015713392
demanda_horaria_lag_2,0.009486264
demanda_horaria_std_12,0.008164782
demanda_horaria_ma_72,0.005859479
demanda_horaria_ma_168,0.004964691
es_festivo,0.0048375935
demanda_horaria_std_6,0.0045599863
dia_semana,0.0044487854
hora_sin,0.004141352
avg_travel_time_lag_1,0.0036423975
demanda_horaria_ma_24,0.0032206618
weekhour_sin,0.0028873617
call_EDP_lag_1,0.0028534583
demanda_horaria_std_24,0.0023493667
demanda_horaria_lag_6,0.0021628863
demanda_horaria_ma_48,0.0020781246
sev_6_lag_1,0.001956807
demanda_horaria_lag_72,0.0018154004
demanda_horaria_ma_6,0.0017476787
weekhour_cos,0.0016728102
borough_MANHATTAN_lag_1,0.0016709389
demanda_horaria_std_3,0.0016677988
call_DRUG_lag_1,0.0015792344
borough_QUEENS_lag_1,0.001244403
call_OTHER_lag_1,0.0012375662
sev_2_lag_24,0.0012190887
demanda_horaria_ma_12,0.0011353287
sev_6_lag_168,0.0010998716
call_MVAINJ_lag_1,0.0010482935
demanda_horaria_lag_3,0.0010416108
demanda_horaria_std_168,0.0010030258
demanda_horaria_lag_48,0.0009971665
sev_4_lag_1,0.0009781271
borough_RICHMOND_STATEN_ISLAND_lag_1,0.00097474374
avg_incident_resp_lag_1,0.00096575386
call_INJURY_lag_1,0.00095889554
demanda_horaria_lag_12,0.0009474452
avg_dispatch_resp_lag_1,0.0009438091
borough_BROOKLYN_lag_1,0.00090988615
sev_8_lag_1,0.0008614988
call_UNC_lag_1,0.00083506905
call_ABDPN_lag_24,0.0008201827
call_SICK_lag_1,0.0008162555
avg_dispatch_resp_lag_168,0.00079281937
borough_UNKNOWN_lag_24,0.00076995423
held_flag_lag_168,0.0007664005
call_ABDPN_lag_1,0.0007554746
sev_2_lag_1,0.0007553789
sev_4_lag_24,0.0007479725
sev_8_lag_168,0.00074358546
anio,0.0007421224
sev_9_lag_1,0.0007416753
sev_6_lag_24,0.00074069574
borough_BROOKLYN_lag_24,0.0007333655
borough_BROOKLYN_lag_168,0.00072011875
sev_7_lag_1,0.00071689504
held_flag_lag_1,0.0007160156
sev_5_lag_1,0.0007087021
avg_dispatch_resp_lag_24,0.0006996255
call_SICK_lag_168,0.0006940942
call_DRUG_lag_168,0.000692143
avg_travel_time_lag_24,0.0006909289
transfer_flag_lag_168,0.0006905849
borough_BRONX_lag_1,0.0006901408
call_UNKNOW_lag_1,0.00068979943
call_DRUG_lag_24,0.0006796471
sev_2_lag_168,0.00067725487
sev_8_lag_24,0.0006744296
call_DIFFBR_lag_1,0.0006691092
sev_3_lag_24,0.0006589946
call_OTHER_lag_168,0.00065747293
borough_QUEENS_lag_168,0.00065712474
call_EDP_lag_168,0.000655161
mes,0.0006527247
sev_4_lag_168,0.0006503263
borough_MANHATTAN_lag_168,0.00064998807
borough_BRONX_lag_168,0.0006483488
call_SICK_lag_24,0.0006465691
held_flag_lag_24,0.00063877867
standby_flag_lag_24,0.0006383916
demanda_horaria_std_48,0.0006375479
demanda_horaria_std_72,0.00063652947
dia_mes,0.0006325474
sev_5_lag_24,0.0006304433
call_MVAINJ_lag_24,0.0006302396
call_DIFFBR_lag_168,0.00062975177
sev_5_lag_168,0.0006218471
standby_flag_lag_1,0.000621551
reopen_flag_lag_24,0.0006162896
call_CARD_lag_1,0.000614174
borough_RICHMOND_STATEN_ISLAND_lag_168,0.0006127174
avg_incident_resp_lag_24,0.0006121315
call_INJURY_lag_168,0.00061102863
avg_incident_resp_lag_168,0.00061058835
borough_BRONX_lag_24,0.00060792296
borough_UNKNOWN_lag_168,0.0006075131
sev_7_lag_24,0.00060365384
sev_3_lag_1,0.0006006814
reopen_flag_lag_168,0.0005996786
borough_MANHATTAN_lag_24,0.00059807143
sev_7_lag_168,0.0005972271
sev_3_lag_168,0.00059519947
special_event_flag_lag_1,0.00059443177
sev_1_lag_1,0.0005890656
call_UNC_lag_24,0.00058871286
call_UNC_lag_168,0.0005816832
avg_travel_time_lag_168,0.00057912717
borough_QUEENS_lag_24,0.0005726777
reopen_flag_lag_1,0.0005700284
call_UNKNOW_lag_24,0.0005679469
call_EDP_lag_24,0.0005658697
sev_1_lag_24,0.00056487654
sev_1_lag_168,0.0005648623
call_UNKNOW_lag_168,0.0005641822
transfer_flag_lag_24,0.0005578092
call_OTHER_lag_24,0.00055628
call_CARD_lag_168,0.00055362337
borough_RICHMOND_STATEN_ISLAND_lag_24,0.0005528555
call_INJURY_lag_24,0.00055111764
call_MVAINJ_lag_168,0.0005431852
call_DIFFBR_lag_24,0.00054180826
call_CARD_lag_24,0.00053833897
special_event_flag_lag_168,0.0005376559
call_ABDPN_lag_168,0.0005314631
standby_flag_lag_168,0.00051167776
transfer_flag_lag_1,0.0004660938
special_event_flag_lag_24,0.0004008161
sev_9_lag_168,0.00040031725
sev_9_lag_24,0.00020091154
borough_UNKNOWN_lag_1,0.000200079
es_fin_semana,0.0
sev_0_lag_24,0.0
sev_0_lag_168,0.0
sev_0_lag_1,0.0
